Id,MSSubClass,Neighborhood,HouseStyle,RoofStyle,Condition1,SaleCondition,Fence,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,LotArea,TotalBsmtSF,GarageCars,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,SalePrice
46,85,SawyerW,1.5Fin,Gambrel,RRAe,Abnorml,NA,6,9,1985,2010,1031.0,10096.0,924.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,433.0,0.0,242372.59166238556
47,85,Somerst,SFoyer,Hip,RRAe,Normal,NA,5,6,2002,2010,3074.0,18373.0,1871.0,2.0,1.0,0.0,4.0,1.0,8.0,0.0,0.0,0.0,336294.019582916
48,80,NWAmes,SLvl,Gable,RRAe,Normal,NA,8,6,1994,2010,4013.0,19576.0,333.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,400423.837372679
49,60,Gilbert,1.5Fin,Flat,Artery,Normal,MnPrv,6,8,1945,1965,,2495.0,584.0,3.0,3.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,232901.3525951003
50,40,Sawyer,1Story,Gable,RRAe,Normal,NA,5,5,1981,2000,3854.0,11053.0,378.0,1.0,2.0,1.0,5.0,1.0,8.0,1.0,209.0,0.0,332535.10398053983
51,20,Sawyer,2Story,Hip,Artery,Normal,MnWw,4,8,1903,1952,921.0,11273.0,249.0,2.0,0.0,0.0,2.0,2.0,5.0,3.0,667.0,0.0,144847.01783583063
52,45,CollgCr,SLvl,Mansard,Feedr,Normal,NA,6,4,1961,1998,3984.0,8625.0,460.0,1.0,2.0,0.0,3.0,1.0,6.0,0.0,80.0,338.0,343370.27164618025
53,120,Edwards,1.5Fin,Mansard,Artery,Normal,GdWo,6,6,1905,1950,3655.0,16863.0,1143.0,3.0,0.0,0.0,4.0,2.0,8.0,3.0,481.0,75.0,342966.5767171911
54,80,Somerst,SFoyer,Gambrel,PosN,Normal,NA,6,7,1980,2008,1106.0,8806.0,1561.0,1.0,3.0,0.0,5.0,1.0,9.0,1.0,0.0,28.0,272530.22530312644
55,50,Somerst,1.5Fin,Hip,PosN,Normal,NA,5,6,2007,2010,3405.0,2521.0,1380.0,3.0,0.0,0.0,5.0,2.0,7.0,1.0,403.0,93.0,348002.21929226344
56,60,NAmes,1Story,Gable,RRAe,Normal,NA,8,6,1975,2010,967.0,11636.0,1542.0,2.0,3.0,1.0,4.0,1.0,7.0,0.0,84.0,0.0,249786.18733878643
57,50,NridgHt,SLvl,Gambrel,Feedr,Normal,NA,9,6,1993,2010,2772.0,5235.0,1431.0,,3.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,366105.8742951599
58,90,CollgCr,SFoyer,Flat,Feedr,Partial,NA,6,4,1926,1934,4195.0,8065.0,765.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,484.0,232.0,372487.98800409026
59,60,Sawyer,SLvl,Gambrel,Feedr,Normal,MnWw,7,5,2010,2010,1323.0,,1800.0,3.0,2.0,0.0,4.0,2.0,8.0,2.0,690.0,0.0,285128.85950005025
60,90,Gilbert,SLvl,Gable,Feedr,Normal,GdPrv,8,5,1961,1997,1195.0,14873.0,344.0,1.0,0.0,1.0,3.0,1.0,6.0,3.0,0.0,0.0,248652.59780140832
61,20,SawyerW,2Story,Mansard,PosN,Normal,MnPrv,10,6,1974,2010,2191.0,6645.0,1399.0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,220.0,326266.43275904295
62,60,Sawyer,2Story,Mansard,Artery,Normal,NA,7,6,1985,2010,1974.0,8542.0,221.0,1.0,1.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,225792.98653067494
63,75,Edwards,2Story,Flat,Feedr,Normal,MnWw,9,5,1970,1986,693.0,2756.0,1531.0,0.0,2.0,1.0,5.0,1.0,8.0,1.0,367.0,0.0,245099.76123431118
64,80,SawyerW,SLvl,Gable,PosN,Normal,NA,9,8,1935,1950,2323.0,8606.0,174.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,59.0,234.0,305079.90255536034
65,20,Somerst,1.5Fin,Flat,Feedr,Normal,MnPrv,8,6,1967,2010,1538.0,12234.0,432.0,1.0,1.0,0.0,5.0,1.0,8.0,2.0,294.0,5.0,246122.82745581327
66,75,Edwards,1.5Fin,Hip,RRAe,Normal,MnPrv,6,6,1972,2010,997.0,12914.0,782.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,0.0,197.0,215946.54369456696
67,90,SawyerW,SLvl,Gambrel,RRAe,Family,NA,4,6,1995,2003,1604.0,6924.0,1388.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,789.0,0.0,225772.674559418
68,30,Edwards,SFoyer,Hip,Feedr,Normal,NA,2,5,1953,1971,582.0,2625.0,91.0,2.0,3.0,0.0,4.0,1.0,6.0,2.0,727.0,86.0,124350.23619709571
69,45,NAmes,SLvl,Gable,PosN,AdjLand,MnWw,6,7,1955,2002,4160.0,12180.0,514.0,2.0,1.0,0.0,2.0,2.0,5.0,3.0,84.0,64.0,360625.3084711454
70,60,Somerst,SLvl,Mansard,RRAe,Abnorml,NA,6,6,1955,1964,4476.0,13624.0,667.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,457.0,0.0,359380.57275492256
71,45,Sawyer,1Story,Hip,PosN,Family,MnPrv,6,2,1912,1951,1970.0,3075.0,1462.0,2.0,0.0,0.0,5.0,2.0,9.0,2.0,5.0,287.0,257041.0742806418
72,60,CollgCr,2Story,Gable,Norm,Normal,GdWo,7,9,1909,1914,4006.0,10841.0,1923.0,,1.0,1.0,2.0,1.0,6.0,1.0,366.0,5.0,377375.025886516
73,90,Somerst,SFoyer,Mansard,Feedr,Abnorml,NA,7,7,1902,1910,2345.0,3259.0,1228.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,124.0,135.0,285282.5869778478
74,90,CollgCr,SLvl,Gambrel,Feedr,Normal,NA,8,7,1973,2010,4149.0,9880.0,1015.0,1.0,3.0,0.0,4.0,2.0,7.0,2.0,0.0,0.0,393604.2763393535
75,75,Gilbert,1Story,Hip,RRAe,Abnorml,NA,4,8,1946,1976,1192.0,13355.0,672.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,57.0,134.0,183290.0986059715
76,90,Somerst,2Story,Flat,PosN,Normal,GdPrv,5,8,1996,2010,1638.0,14806.0,1645.0,3.0,2.0,0.0,4.0,2.0,7.0,3.0,722.0,0.0,284846.87712502334
77,85,Edwards,1.5Fin,Gambrel,Norm,Normal,NA,8,5,1977,2010,3459.0,14704.0,214.0,0.0,3.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,353222.1708070257
78,20,OldTown,SFoyer,Mansard,Norm,Normal,NA,8,6,1915,1930,1380.0,15527.0,258.0,1.0,1.0,0.0,3.0,1.0,7.0,3.0,0.0,0.0,236787.96394064312
79,50,NridgHt,1Story,Hip,RRAe,Normal,NA,10,6,1911,1936,3794.0,5962.0,402.0,2.0,1.0,1.0,3.0,1.0,7.0,0.0,708.0,0.0,377412.8970976356
80,90,Gilbert,SFoyer,Hip,Feedr,Normal,GdWo,9,5,1940,1970,2203.0,17155.0,536.0,0.0,0.0,1.0,5.0,1.0,8.0,1.0,0.0,0.0,271210.11994059343
81,60,SawyerW,2Story,Gable,RRAe,Normal,MnWw,9,5,2002,2010,2115.0,7968.0,923.0,3.0,3.0,1.0,3.0,1.0,6.0,0.0,0.0,12.0,349466.2022567469
82,75,Somerst,2Story,Mansard,Norm,Normal,MnPrv,6,4,1905,1921,2313.0,8433.0,,2.0,0.0,0.0,5.0,2.0,7.0,2.0,86.0,285.0,295821.00967181247
83,50,CollgCr,1.5Fin,Mansard,Artery,Normal,GdWo,6,6,1920,1951,3691.0,16070.0,1300.0,3.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,0.0,398726.9555133145
84,20,NWAmes,1.5Fin,Mansard,Norm,Normal,MnPrv,5,7,1903,1925,522.0,7550.0,767.0,3.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,355.0,150618.09125833478
85,70,Gilbert,SFoyer,Gambrel,PosN,Normal,GdWo,7,7,1945,1972,3502.0,2885.0,423.0,0.0,2.0,0.0,5.0,2.0,8.0,0.0,0.0,289.0,324898.455050953
86,50,Sawyer,2Story,Hip,Norm,Normal,NA,9,5,2009,2010,3617.0,14715.0,1296.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,405291.2897874741
87,85,NAmes,SLvl,Hip,Norm,Normal,NA,6,5,1975,1994,3784.0,13748.0,506.0,2.0,2.0,1.0,5.0,2.0,7.0,3.0,122.0,51.0,374042.2791294849
88,90,Edwards,1Story,Hip,Norm,Normal,MnWw,7,6,1954,1987,4486.0,12263.0,1952.0,0.0,2.0,0.0,4.0,2.0,6.0,0.0,212.0,75.0,425323.7770765607
89,30,Sawyer,SLvl,Flat,Feedr,Normal,NA,5,6,1916,1963,3629.0,4150.0,955.0,1.0,0.0,1.0,4.0,2.0,7.0,3.0,0.0,361.0,330362.02460618626
90,50,NWAmes,1Story,Mansard,Artery,Normal,NA,5,8,1939,1977,2614.0,13188.0,1101.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,77.0,156.0,310556.21039893443
91,50,Somerst,SFoyer,Gambrel,RRAe,Normal,GdPrv,5,8,1958,2007,2364.0,5170.0,1806.0,,0.0,0.0,5.0,2.0,7.0,1.0,513.0,326.0,317517.77684586844
92,80,NWAmes,2Story,Flat,PosN,Family,MnPrv,3,8,1930,1959,,11777.0,610.0,1.0,0.0,1.0,5.0,2.0,9.0,2.0,0.0,274.0,226339.575154293
93,50,NWAmes,2Story,Gambrel,PosN,Normal,NA,9,8,1978,1992,3808.0,10896.0,943.0,3.0,1.0,1.0,2.0,2.0,5.0,2.0,114.0,0.0,399049.04142258747
94,70,Edwards,1Story,Mansard,Norm,Normal,NA,6,9,2008,2010,2071.0,15794.0,1063.0,2.0,1.0,0.0,3.0,2.0,6.0,3.0,0.0,0.0,277990.20087448333
95,90,NWAmes,SFoyer,Flat,Artery,Normal,NA,8,6,1922,1954,2790.0,19566.0,542.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,29.0,298559.26384135487
96,75,OldTown,1Story,Mansard,PosN,Abnorml,NA,7,3,1927,1939,,5015.0,109.0,,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,183758.56888183905
97,30,OldTown,SFoyer,Gable,Norm,Normal,NA,5,4,1914,1929,1769.0,3622.0,567.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,219528.96671337823
98,60,Gilbert,SFoyer,Hip,RRAe,Normal,NA,5,6,1980,1993,1564.0,11780.0,224.0,0.0,3.0,0.0,3.0,2.0,6.0,2.0,260.0,0.0,202566.22704365695
99,90,Gilbert,SLvl,Gable,Artery,Normal,GdPrv,8,5,1951,1992,2240.0,19111.0,1351.0,,2.0,0.0,3.0,1.0,6.0,1.0,206.0,87.0,329793.14504009444
100,60,CollgCr,SFoyer,Gable,Norm,Normal,NA,5,4,1931,1935,2508.0,4424.0,14.0,1.0,1.0,0.0,3.0,2.0,7.0,2.0,223.0,365.0,253460.1500013046
101,120,NWAmes,2Story,Hip,Norm,Normal,NA,9,9,1924,1960,3365.0,10516.0,632.0,3.0,1.0,0.0,4.0,1.0,7.0,1.0,0.0,0.0,386362.8002109426
102,90,CollgCr,SFoyer,Hip,Feedr,Family,MnPrv,4,5,1907,1934,2227.0,9034.0,,2.0,0.0,0.0,5.0,2.0,8.0,3.0,123.0,0.0,266220.24912350165
103,45,NWAmes,SLvl,Gambrel,Norm,Family,NA,7,9,1952,1955,1101.0,7383.0,1137.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,253.0,0.0,205356.19119026233
104,50,NAmes,2Story,Flat,Norm,Normal,NA,8,7,1975,2005,2680.0,13783.0,,1.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,361184.8590699474
105,40,Sawyer,1Story,Flat,Artery,Normal,NA,5,6,1926,1963,718.0,6966.0,1337.0,3.0,0.0,0.0,2.0,2.0,4.0,2.0,46.0,102.0,191742.11209616152
106,40,Sawyer,SLvl,Flat,RRAe,Normal,MnPrv,5,7,1900,1936,3896.0,10621.0,596.0,0.0,3.0,1.0,5.0,2.0,7.0,0.0,48.0,0.0,318707.6445591194
107,50,Sawyer,1Story,Gable,Artery,AdjLand,NA,10,5,1952,1978,3582.0,17139.0,1264.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,217.0,409601.55345422175
108,60,Gilbert,1.5Fin,Gambrel,RRAe,Partial,NA,5,6,1975,1991,1400.0,8522.0,442.0,1.0,3.0,1.0,1.0,2.0,4.0,0.0,774.0,0.0,200251.57290540627
109,50,Somerst,2Story,Gambrel,Norm,Normal,NA,6,5,1938,1946,1552.0,1890.0,1271.0,,1.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,269561.25327188015
110,80,Sawyer,1Story,Flat,Feedr,Normal,GdPrv,6,8,1927,1927,610.0,17871.0,1366.0,3.0,3.0,0.0,4.0,2.0,8.0,2.0,741.0,294.0,200620.5271490807
111,30,OldTown,SFoyer,Mansard,RRAe,Normal,MnPrv,5,5,1917,1934,1957.0,6578.0,1752.0,3.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,280719.7870251589
112,60,Sawyer,1Story,Mansard,Norm,Normal,GdWo,8,5,1982,2010,652.0,15797.0,1839.0,0.0,3.0,1.0,5.0,2.0,8.0,0.0,0.0,0.0,231105.21861880776
113,90,NridgHt,SFoyer,Mansard,Artery,Normal,MnPrv,8,7,1995,1996,4245.0,15611.0,47.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,320.0,0.0,391935.9940781958
114,80,Somerst,SFoyer,Gable,Norm,Normal,NA,6,6,1985,2010,1036.0,11236.0,598.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,423.0,330.0,220744.31629073966
115,40,NridgHt,1Story,Gable,Artery,Normal,NA,8,6,1957,1986,3137.0,3124.0,1094.0,1.0,0.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,334405.82692544034
116,40,NridgHt,1Story,Flat,RRAe,Normal,NA,5,6,1980,1994,2781.0,19075.0,643.0,2.0,3.0,0.0,1.0,2.0,5.0,3.0,794.0,8.0,311875.58555126796
117,120,NAmes,SFoyer,Gable,PosN,Abnorml,NA,1,4,1944,1992,1447.0,14096.0,1237.0,2.0,0.0,0.0,5.0,2.0,9.0,2.0,482.0,177.0,177277.66099238204
118,70,CollgCr,1.5Fin,Gable,Norm,Normal,NA,7,7,1902,1911,3732.0,9350.0,1708.0,1.0,0.0,0.0,5.0,1.0,8.0,3.0,682.0,21.0,372403.62239087897
119,90,OldTown,1Story,Gable,Artery,Normal,NA,10,5,1940,1987,935.0,17296.0,516.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,206.0,135.0,255749.6032044821
120,90,CollgCr,SLvl,Gable,Artery,Normal,MnPrv,3,5,1978,1992,4047.0,16079.0,1786.0,3.0,3.0,1.0,5.0,1.0,8.0,1.0,572.0,79.0,394580.2397410489
121,60,Somerst,2Story,Hip,Norm,Normal,MnPrv,5,4,1971,1989,3461.0,15565.0,1764.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,84.0,383.0,385768.2756016258
122,70,Gilbert,1Story,Hip,RRAe,Normal,NA,7,5,2009,2010,3040.0,4606.0,1828.0,3.0,3.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,382873.2091647187
123,50,Gilbert,SLvl,Mansard,Norm,Abnorml,NA,8,5,2010,2010,4018.0,13207.0,147.0,1.0,2.0,0.0,5.0,1.0,7.0,0.0,512.0,16.0,377284.3426830398
124,75,Somerst,1Story,Mansard,RRAe,Normal,NA,4,6,1926,1938,2112.0,6787.0,586.0,1.0,3.0,0.0,3.0,2.0,7.0,2.0,0.0,249.0,227115.9318745795
125,75,NWAmes,1.5Fin,Gable,Feedr,Normal,NA,6,5,1901,1949,1626.0,2951.0,248.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,214425.6625787175
126,80,NridgHt,SLvl,Hip,Norm,Normal,NA,8,5,1930,1947,1118.0,7754.0,240.0,0.0,1.0,1.0,5.0,2.0,9.0,0.0,635.0,130.0,183663.0137029361
127,90,NAmes,1.5Fin,Flat,Norm,Normal,NA,6,6,1997,2010,4197.0,3424.0,106.0,,0.0,1.0,4.0,1.0,7.0,3.0,0.0,0.0,320833.31192527676
128,80,Sawyer,1.5Fin,Hip,Artery,Partial,NA,5,4,1990,2010,2105.0,3457.0,879.0,1.0,3.0,0.0,1.0,1.0,5.0,1.0,301.0,389.0,265148.1205619733
129,30,NridgHt,2Story,Hip,Feedr,Normal,GdWo,5,7,1910,1944,3817.0,14950.0,174.0,3.0,1.0,0.0,4.0,2.0,6.0,3.0,232.0,0.0,336839.1375864469
130,50,Gilbert,1Story,Gambrel,Artery,Normal,NA,6,9,1917,1934,1829.0,10783.0,591.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,534.0,0.0,205729.67674789048
131,70,NridgHt,1.5Fin,Flat,PosN,Normal,NA,6,6,1962,1968,4319.0,8860.0,1962.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0,763.0,0.0,443308.3417992155
132,75,NridgHt,SLvl,Gambrel,PosN,Family,NA,8,8,1973,1992,3980.0,5056.0,1767.0,2.0,2.0,0.0,3.0,1.0,6.0,1.0,591.0,0.0,389435.20595427824
133,90,NAmes,1Story,Gable,RRAe,Normal,NA,7,4,2009,2010,1732.0,15762.0,1874.0,1.0,1.0,0.0,5.0,1.0,8.0,3.0,287.0,0.0,329204.6609745484
134,50,NridgHt,SLvl,Flat,Artery,Normal,NA,7,3,1983,1985,2446.0,13232.0,73.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,316156.1664067124
135,85,Sawyer,1.5Fin,Hip,Norm,Normal,GdWo,10,7,1923,1926,3675.0,12333.0,1321.0,0.0,1.0,1.0,4.0,1.0,8.0,3.0,0.0,131.0,395500.70105207775
136,50,Edwards,1.5Fin,Hip,Artery,Normal,NA,6,7,1904,1949,1404.0,5016.0,1267.0,3.0,2.0,0.0,5.0,1.0,9.0,3.0,114.0,0.0,245176.23592475496
137,30,Gilbert,1Story,Flat,Norm,Normal,NA,6,7,1970,1971,594.0,3785.0,265.0,2.0,2.0,1.0,5.0,1.0,7.0,3.0,214.0,277.0,189478.30427194035
